,HW,D,AW,Over,Under,HomeTeam,AwayTeam,BO2.5,BU2.5,BHD,BAD,THG,TAG,HPr5MW,HPr5MD,HPr5ML,aPr5MW,aPr5MD,aPr5ML,HWH2H,DH2H,AWH2H
45,0,0,1,1,0,Udinese,Torino,2.06,1.84,1.65,0.825,8,4,2,2,1,1,1,3,2,0,3
46,0,0,1,1,0,Fiorentina,Inter,1.8,2.0,0.9722222222222222,1.707317073170732,6,10,1,1,3,3,0,2,0,1,4
47,1,0,0,1,0,Milan,Monza,1.66,2.2,3.5714285714285716,0.6666666666666666,12,7,4,0,1,3,0,2,1,0,0
48,1,0,0,0,1,Salernitana,Spezia,2.0,1.9,1.75,0.9210526315789475,4,4,2,0,3,1,1,3,1,1,1
49,1,0,0,1,0,Juventus,Empoli,1.66,2.2,3.5714285714285716,0.7142857142857143,8,4,3,0,2,2,1,2,4,0,1
50,0,1,0,0,1,Lecce,Fiorentina,2.1,1.72,0.9066666666666666,1.6585365853658538,6,4,1,3,1,1,1,3,2,1,2
51,0,0,1,0,1,Sampdoria,Roma,1.99,1.91,0.7894736842105263,2.1802325581395348,3,7,0,1,4,4,0,1,1,1,3
52,0,0,1,1,0,Verona,Milan,1.8,2.0,0.6666666666666666,2.5477707006369426,3,10,0,0,5,4,0,1,0,1,4
53,1,0,0,1,0,Napoli,Bologna,1.53,2.5,4.8,0.5454545454545454,13,5,5,0,0,1,1,3,5,0,0
54,0,1,0,1,0,Spezia,Cremonese,2.04,1.86,1.3061224489795917,1.032258064516129,4,5,1,1,3,0,3,2,0,1,0
55,0,1,0,0,1,Lazio,Udinese,1.66,2.2,1.5909090909090908,1.0769230769230769,14,10,4,1,0,3,2,0,1,3,1
56,1,0,0,0,1,Inter,Salernitana,1.5,2.62,4.423076923076923,0.6388888888888888,7,5,3,0,2,1,1,3,3,0,0
57,1,0,0,1,0,Atalanta,Sassuolo,1.66,2.2,2.4242424242424243,0.8,7,9,3,2,0,2,0,3,3,1,1
58,0,0,1,0,1,Torino,Juventus,2.3,1.61,1.0333333333333334,1.24,2,6,0,1,4,2,1,2,0,2,3
59,1,0,0,0,1,Empoli,Monza,1.99,1.91,1.2941176470588236,1.1785714285714286,5,7,2,1,2,3,1,1,1,0,0
60,0,0,1,1,0,Fiorentina,Lazio,1.91,1.99,1.4583333333333335,1.25,4,15,1,1,3,4,0,1,1,0,4
61,1,0,0,1,0,Roma,Lecce,1.84,2.06,3.9473684210526314,0.6176470588235294,6,5,3,0,2,1,2,2,4,0,1
62,0,0,1,1,0,Cremonese,Napoli,1.66,2.2,0.6428571428571429,3.103448275862069,3,12,0,3,2,5,0,0,0,0,1
63,0,1,0,1,0,Udinese,Atalanta,1.88,2.02,1.3599999999999999,1.2363636363636363,14,7,4,1,0,3,2,0,0,3,2
64,1,0,0,1,0,Salernitana,Verona,1.86,2.04,1.4166666666666667,1.1846689895470381,7,4,1,2,2,1,0,4,2,1,0
