,FTR,HomeTeam,AwayTeam,FTHG,FTAG
142,H,Spezia,Empoli,1.0,0.0
143,A,Salernitana,Roma,0.0,1.0
144,H,Lazio,Bologna,2.0,1.0
145,H,Fiorentina,Cremonese,3.0,2.0
146,A,Monza,Torino,1.0,2.0
147,A,Lecce,Inter,1.0,2.0
148,A,Sampdoria,Atalanta,0.0,2.0
149,H,Milan,Udinese,4.0,2.0
150,D,Venezia,Cagliari,0.0,0.0
151,A,Salernitana,Udinese,0.0,4.0
152,A,Sassuolo,Milan,0.0,3.0
153,H,Inter,Sampdoria,3.0,0.0
154,A,Spezia,Napoli,0.0,3.0
155,D,Lazio,Verona,3.0,3.0
156,H,Fiorentina,Juventus,2.0,0.0
157,A,Atalanta,Empoli,0.0,1.0
158,A,Genoa,Bologna,0.0,1.0
159,A,Torino,Roma,0.0,3.0
160,D,Juventus,Lazio,2.0,2.0
161,H,Sampdoria,Fiorentina,4.0,1.0
162,A,Cagliari,Inter,1.0,3.0
163,H,Milan,Atalanta,2.0,0.0
164,H,Napoli,Genoa,3.0,0.0
165,A,Bologna,Sassuolo,1.0,3.0
166,D,Roma,Venezia,1.0,1.0
167,A,Verona,Torino,0.0,1.0
168,A,Udinese,Spezia,2.0,3.0
169,D,Empoli,Salernitana,1.0,1.0
170,H,Fiorentina,Roma,2.0,0.0
171,A,Verona,Milan,1.0,3.0
172,D,Salernitana,Cagliari,1.0,1.0
173,H,Venezia,Bologna,4.0,3.0
174,A,Spezia,Atalanta,1.0,3.0
175,H,Lazio,Sampdoria,2.0,0.0
176,D,Sassuolo,Udinese,1.0,1.0
177,A,Torino,Napoli,0.0,1.0
178,H,Genoa,Juventus,2.0,1.0
179,H,Inter,Empoli,4.0,2.0
180,H,Salernitana,Venezia,2.0,1.0
181,D,Atalanta,Salernitana,1.0,1.0
182,D,Roma,Bologna,0.0,0.0
183,A,Udinese,Inter,1.0,2.0
184,H,Milan,Fiorentina,1.0,0.0
185,A,Empoli,Torino,1.0,3.0
186,H,Juventus,Venezia,2.0,1.0
187,A,Spezia,Lazio,3.0,4.0
188,H,Sampdoria,Genoa,1.0,0.0
189,H,Napoli,Sassuolo,6.0,1.0
190,A,Cagliari,Verona,1.0,2.0
191,H,Bologna,Inter,2.0,1.0
192,D,Atalanta,Torino,4.0,4.0
193,A,Fiorentina,Udinese,0.0,4.0
194,A,Sassuolo,Juventus,1.0,2.0
195,A,Lazio,Milan,1.0,2.0
196,H,Genoa,Cagliari,1.0,0.0
197,H,Empoli,Napoli,3.0,2.0
198,D,Bologna,Udinese,2.0,2.0
199,H,Salernitana,Fiorentina,2.0,1.0
200,D,Verona,Sampdoria,1.0,1.0
201,H,Inter,Roma,3.0,1.0
202,A,Venezia,Atalanta,1.0,3.0
203,H,Torino,Spezia,2.0,1.0
204,A,Udinese,Salernitana,0.0,1.0
205,A,Atalanta,Verona,1.0,2.0
206,D,Napoli,Roma,1.0,1.0
