,HW,D,AW,Over,Under,HomeTeam,AwayTeam,BO2.5,BU2.5,BHD,BAD,THG,TAG,HPr5MW,HPr5MD,HPr5ML,aPr5MW,aPr5MD,aPr5ML,HWH2H,DH2H,AWH2H
754,0,0,1,1,0,Dortmund,Hoffenheim,1.33,3.4,2.6470588235294117,1.0975609756097562,4,13,3,0,2,3,1,1,0,2,3
755,0,0,1,1,0,Augsburg,RB Leipzig,1.36,3.2,0.8214285714285714,4.227941176470588,5,7,1,2,2,2,2,1,0,2,3
756,0,0,1,1,0,Schalke 04,Wolfsburg,1.72,2.1,0.7619047619047619,2.484472049689441,4,8,0,2,3,2,1,2,2,1,2
757,0,0,1,0,1,RB Leipzig,Dortmund,1.57,2.37,1.6888888888888889,1.3103448275862069,9,10,2,2,1,4,0,1,0,2,3
758,0,0,1,1,0,Paderborn,M'gladbach,1.33,3.4,0.6842105263157895,5.2,4,11,0,1,4,3,0,2,0,0,4
759,1,0,0,1,0,Mainz,Werder Bremen,1.72,2.1,1.346153846153846,1.3358778625954197,7,6,3,0,2,1,0,4,3,0,2
760,1,0,0,1,0,Hoffenheim,Union Berlin,1.57,2.37,2.6751592356687897,0.7636363636363637,10,5,3,1,1,2,1,2,2,0,0
761,1,0,0,0,1,Hertha,Leverkusen,1.53,2.5,0.8247619047619048,2.7579617834394905,6,7,2,0,3,2,1,2,3,0,2
762,0,1,0,0,1,Fortuna Dusseldorf,Augsburg,1.9,1.9,1.9230769230769231,1.0,5,4,0,3,2,1,2,2,1,1,3
763,0,1,0,0,1,FC Koln,Ein Frankfurt,1.53,2.5,1.4074074074074072,1.6033755274261603,6,10,0,2,3,3,1,1,2,1,2
764,1,0,0,1,0,Bayern Munich,Freiburg,1.33,3.4,4.8,0.6,15,6,5,0,0,2,1,2,3,2,0
765,0,1,0,1,0,RB Leipzig,Fortuna Dusseldorf,1.36,3.2,4.918032786885246,0.5,11,6,2,3,0,1,2,2,2,2,0
766,1,0,0,1,0,Leverkusen,FC Koln,1.44,2.75,3.298611111111111,0.7307692307692307,8,6,2,1,2,0,1,4,2,1,2
767,0,0,1,0,1,Dortmund,Mainz,1.36,3.2,5.2,0.65,8,5,3,0,2,2,1,2,3,0,2
768,0,0,1,1,0,Augsburg,Hoffenheim,1.61,2.3,1.3333333333333333,1.44,3,9,1,2,2,3,1,1,1,0,4
769,1,0,0,1,0,Ein Frankfurt,Schalke 04,1.66,2.2,2.4705882352941178,0.9333333333333333,11,4,4,0,1,0,2,3,3,0,2
770,0,0,1,0,1,Werder Bremen,Bayern Munich,1.33,3.4,0.5769230769230769,6.4655172413793105,6,13,2,0,3,5,0,0,0,0,5
771,1,0,0,0,1,Union Berlin,Paderborn,1.72,2.1,2.545454545454546,0.8400000000000001,6,3,2,2,1,0,2,3,1,1,0
772,1,0,0,1,0,Freiburg,Hertha,1.72,2.1,1.3740458015267176,1.411764705882353,8,6,2,2,1,1,1,3,2,2,1
773,1,0,0,1,0,M'gladbach,Wolfsburg,1.57,2.37,1.7857142857142856,1.1538461538461537,8,8,2,1,2,2,1,2,2,1,2
774,0,1,0,0,1,Schalke 04,Leverkusen,1.72,2.1,0.7530434782608696,2.8300653594771243,3,8,0,2,3,2,1,2,1,2,2
775,0,0,1,0,1,Mainz,Augsburg,1.9,1.9,1.511111111111111,1.096774193548387,3,5,1,1,3,2,2,1,1,0,4
776,1,0,0,1,0,Bayern Munich,M'gladbach,1.36,3.2,3.8602941176470584,0.7,17,6,5,0,0,1,1,3,3,0,2
777,0,1,0,1,0,Wolfsburg,Freiburg,1.72,2.1,2.235294117647059,0.7999999999999999,8,6,2,1,2,1,2,2,1,2,2
778,0,0,1,1,0,Paderborn,Werder Bremen,1.72,2.1,1.25,1.744186046511628,4,6,0,3,2,2,1,2,1,1,2
779,0,0,1,1,0,Hertha,Ein Frankfurt,1.61,2.3,1.875,1.1029411764705883,9,12,2,1,2,3,1,1,2,2,1
780,0,0,1,0,1,Fortuna Dusseldorf,Dortmund,1.44,2.75,0.75,3.8602941176470584,6,10,1,2,2,4,0,1,1,0,4
781,0,0,1,1,0,FC Koln,Union Berlin,1.72,2.1,1.7,0.9066666666666666,7,5,0,2,3,1,2,2,0,0,2
782,0,0,1,0,1,Hoffenheim,RB Leipzig,1.36,3.2,0.8076923076923077,3.7500000000000004,7,14,2,2,1,3,2,0,1,1,3
783,0,1,0,0,1,Augsburg,FC Koln,1.72,2.1,1.2962962962962963,1.4285714285714284,5,8,1,2,2,0,3,2,2,3,0
784,0,1,0,0,1,Union Berlin,Schalke 04,2.1,1.72,1.371308016877637,1.0833333333333333,3,2,0,2,3,0,1,4,0,1,1
785,0,0,1,0,1,Werder Bremen,Wolfsburg,1.9,1.9,0.9722222222222222,1.707317073170732,2,8,2,1,2,3,0,2,3,1,1
786,1,0,0,0,1,Dortmund,Hertha,1.36,3.2,4.135338345864661,0.7333333333333333,13,11,4,0,1,3,1,1,3,2,0
787,0,1,0,0,1,RB Leipzig,Paderborn,1.25,4.0,7.017543859649123,0.5333333333333333,13,3,2,3,0,0,4,1,1,1,0
788,0,0,1,1,0,Leverkusen,Bayern Munich,1.3,3.5,0.7916666666666666,3.298611111111111,11,17,3,0,2,5,0,0,2,0,3
789,0,1,0,1,0,Fortuna Dusseldorf,Hoffenheim,1.66,2.2,1.309090909090909,1.5,6,7,1,3,1,2,2,1,1,3,1
790,0,0,1,0,1,Ein Frankfurt,Mainz,1.53,2.5,1.875,1.0714285714285714,10,5,2,1,2,1,2,2,1,1,3
791,1,0,0,0,1,Freiburg,M'gladbach,1.61,2.3,0.8888888888888888,2.3255813953488373,5,8,1,2,2,2,1,2,2,1,2
792,0,0,1,1,0,Werder Bremen,Ein Frankfurt,1.72,2.1,1.2363636363636363,1.3333333333333335,3,11,2,1,2,2,1,2,2,2,1
793,0,0,1,1,0,FC Koln,RB Leipzig,1.4,3.0,0.8363636363636363,3.006535947712418,8,12,0,2,3,2,3,0,1,0,4
794,0,0,1,1,0,Paderborn,Dortmund,1.44,2.75,0.6470588235294118,4.135338345864661,3,14,0,3,2,4,0,1,0,2,2
795,1,0,0,1,0,M'gladbach,Union Berlin,1.66,2.2,3.0,0.75,10,3,3,1,1,0,1,4,1,0,1
796,1,0,0,1,0,Bayern Munich,Fortuna Dusseldorf,1.2,4.5,12.037037037037036,0.6842105263157895,15,5,5,0,0,1,3,1,4,1,0
797,0,0,1,1,0,Wolfsburg,Ein Frankfurt,1.66,2.2,1.9230769230769231,1.0,7,8,2,1,2,1,1,3,2,1,2
798,0,0,1,0,1,Schalke 04,Werder Bremen,1.9,1.9,1.3599999999999999,1.2142857142857144,2,5,0,1,4,2,2,1,1,0,4
799,0,0,1,0,1,Mainz,Hoffenheim,1.53,2.5,1.3636363636363635,1.5822784810126582,4,6,0,3,2,2,2,1,2,1,2
800,1,0,0,0,1,Hertha,Augsburg,1.72,2.1,1.973684210526316,1.0,13,4,3,2,0,1,1,3,2,2,1
801,0,0,1,0,1,Freiburg,Leverkusen,1.53,2.5,0.8842105263157896,2.530120481927711,7,13,1,2,2,4,0,1,0,3,2
802,0,1,0,0,1,Union Berlin,Mainz,1.8,2.0,1.5909090909090908,1.129032258064516,4,6,0,2,3,1,3,1,1,1,0
803,1,0,0,1,0,Hoffenheim,FC Koln,1.53,2.5,1.565217391304348,1.2857142857142858,5,8,1,2,2,1,2,2,4,1,0
804,1,0,0,1,0,Fortuna Dusseldorf,Schalke 04,1.9,1.9,1.3076923076923077,1.259259259259259,8,2,1,4,0,0,1,4,2,1,2
805,0,1,0,0,1,Augsburg,Paderborn,1.8,2.0,1.973684210526316,0.986842105263158,6,2,1,1,3,0,3,2,2,1,1
806,0,1,0,1,0,RB Leipzig,Hertha,1.4,3.0,4.230769230769231,0.9166666666666666,9,14,1,4,0,2,3,0,4,1,0
807,0,1,0,0,1,Werder Bremen,M'gladbach,1.57,2.37,0.9237875288683602,2.3255813953488373,4,7,1,2,2,2,1,2,0,3,2
808,0,0,1,1,0,Leverkusen,Wolfsburg,1.57,2.37,2.4418604651162794,0.9699769053117783,13,8,3,1,1,2,2,1,3,0,2
809,0,1,0,1,0,Ein Frankfurt,Freiburg,1.9,1.9,1.9230769230769231,1.0714285714285714,7,7,0,1,4,1,2,2,2,2,1
810,0,0,1,0,1,Dortmund,Bayern Munich,1.36,3.2,1.2027777777777777,2.3405405405405406,9,16,4,0,1,5,0,0,1,0,4
811,0,1,0,1,0,FC Koln,Fortuna Dusseldorf,1.66,2.2,2.3255813953488373,0.9523809523809523,10,8,2,2,1,1,4,0,0,1,1
